epoch,loss,mae,val_loss,val_mae
0,0.05881977081298828,0.18618522584438324,0.01907416060566902,0.11930087953805923
1,0.02258792147040367,0.11937789618968964,0.014200353063642979,0.09609224647283554
2,0.019816424697637558,0.11055057495832443,0.011714226566255093,0.08356171101331711
3,0.018594207242131233,0.10602317005395889,0.010231665335595608,0.07583193480968475
4,0.01670646108686924,0.0984400287270546,0.0093917241320014,0.07069937884807587
5,0.016215620562434196,0.0969695895910263,0.008610721677541733,0.06765124201774597
6,0.014784946106374264,0.09267641603946686,0.008059761486947536,0.06495185941457748
7,0.013952331617474556,0.08917441219091415,0.007773746736347675,0.06360986083745956
8,0.013236911967396736,0.08738226443529129,0.007169209886342287,0.06146349757909775
9,0.012438365258276463,0.0850798562169075,0.007061825133860111,0.060804519802331924
10,0.011545675806701183,0.08180102705955505,0.006551709957420826,0.058880411088466644
11,0.010547098703682423,0.0787087231874466,0.0061650387942790985,0.057367075234651566
12,0.009879592806100845,0.07604871690273285,0.006298023741692305,0.058173663914203644
13,0.009903519414365292,0.07563795149326324,0.005756358616054058,0.055775221437215805
14,0.009837990626692772,0.07569379359483719,0.00487380288541317,0.051395006477832794
15,0.008402840234339237,0.06930360198020935,0.004931884817779064,0.05190325155854225
16,0.007599602919071913,0.06665042042732239,0.0045808968134224415,0.04986541345715523
17,0.007286951877176762,0.06444431841373444,0.004358975682407618,0.048562128096818924
18,0.006894184276461601,0.06356590986251831,0.004316769540309906,0.04846682772040367
19,0.006723444443196058,0.06262622028589249,0.004061482846736908,0.04676376283168793
20,0.006381425075232983,0.06097852811217308,0.004151463974267244,0.0473516471683979
21,0.006307751405984163,0.059980377554893494,0.004050985909998417,0.04672388732433319
22,0.006292032077908516,0.059552326798439026,0.0040697674266994,0.0470377616584301
23,0.005936633329838514,0.057747386395931244,0.003926596604287624,0.04607676342129707
24,0.005395995918661356,0.05610901117324829,0.003948347643017769,0.04622979834675789
25,0.005462862551212311,0.05556248128414154,0.0036097136326134205,0.0436110720038414
26,0.00521361269056797,0.05459964647889137,0.0037059299647808075,0.04446908459067345
27,0.005626891739666462,0.05640728399157524,0.003922922536730766,0.04615924134850502
28,0.005426562391221523,0.05493113026022911,0.003624154720455408,0.04381682351231575
29,0.005010245367884636,0.05309980362653732,0.003707533236593008,0.0447518415749073
30,0.005113713908940554,0.05364209786057472,0.003508739173412323,0.043196626007556915
31,0.004948171321302652,0.05315447971224785,0.00363109540194273,0.04435078427195549
32,0.005090291611850262,0.053809233009815216,0.0036471523344516754,0.04444530978798866
33,0.0052243913523852825,0.05367356538772583,0.003501319559291005,0.04295849800109863
34,0.004489118233323097,0.04942935332655907,0.0035776093136519194,0.043779753148555756
35,0.004908475559204817,0.05373286455869675,0.0035951987374573946,0.04422459751367569
36,0.00494126183912158,0.052860844880342484,0.003437698818743229,0.04277579486370087
37,0.004600183572620153,0.05049949884414673,0.0035981631372123957,0.044271282851696014
38,0.004998638294637203,0.052217304706573486,0.0036618178710341454,0.04462236166000366
39,0.004615785088390112,0.05016229674220085,0.003526297165080905,0.04372919723391533
40,0.004603411071002483,0.05080466717481613,0.003495958633720875,0.04329795390367508
41,0.004814292304217815,0.05123165622353554,0.0035223260056227446,0.04334230720996857
42,0.004654361866414547,0.049547191709280014,0.0034464518539607525,0.042603377252817154
43,0.004769424442201853,0.05055384337902069,0.0032786838710308075,0.04121986776590347
44,0.004506027325987816,0.04973408579826355,0.0034814090467989445,0.04331010580062866
45,0.004339009523391724,0.04952002689242363,0.0033579475712031126,0.04205691069364548
46,0.004442109260708094,0.050581302493810654,0.0032986686564981937,0.04162657633423805
47,0.004349942319095135,0.04857354611158371,0.0033427909947931767,0.041979387402534485
48,0.0039510284550487995,0.047536976635456085,0.0036300434730947018,0.044250521808862686
49,0.004367562476545572,0.049468591809272766,0.003517149481922388,0.04355795308947563
