epoch,loss,mae,val_loss,val_mae
0,0.16780748963356018,0.32385310530662537,0.03427565097808838,0.1334635466337204
1,0.035828642547130585,0.15091638267040253,0.02284393645823002,0.12714146077632904
2,0.0280210692435503,0.1323697566986084,0.019927289336919785,0.11605677753686905
3,0.02820732817053795,0.1332707703113556,0.017619380727410316,0.10723401606082916
4,0.024834947660565376,0.12379097938537598,0.015907011926174164,0.10027951002120972
5,0.023307764902710915,0.11821433156728745,0.014641143381595612,0.09583453088998795
6,0.022055121138691902,0.11560294032096863,0.013549174182116985,0.09108114242553711
7,0.021396122872829437,0.11251303553581238,0.01277510728687048,0.08733682334423065
8,0.019148768857121468,0.10720840096473694,0.012037746608257294,0.08445893228054047
9,0.019385147839784622,0.10618800669908524,0.011453356593847275,0.08167092502117157
10,0.018724309280514717,0.10361436009407043,0.010826925747096539,0.0793682262301445
11,0.017219023779034615,0.10136719048023224,0.010277518071234226,0.07710602879524231
12,0.01668555848300457,0.09905175864696503,0.009858950972557068,0.07482700794935226
13,0.015601580031216145,0.09587998688220978,0.009239676408469677,0.07290332019329071
14,0.01563166081905365,0.09597867727279663,0.008631113916635513,0.07100892812013626
15,0.014441723003983498,0.09223274141550064,0.008290738798677921,0.0690198764204979
16,0.01307649165391922,0.08766129612922668,0.00769433518871665,0.06714840978384018
17,0.012894084677100182,0.08610399067401886,0.0072160023264586926,0.06557393819093704
18,0.011607417836785316,0.08333186060190201,0.007123007904738188,0.06401779502630234
19,0.011938177049160004,0.08303578943014145,0.006732376758009195,0.06275209784507751
20,0.011305578052997589,0.081828273832798,0.006447231397032738,0.06159522384405136
21,0.010782521218061447,0.07842253893613815,0.006155246403068304,0.06013310328125954
22,0.01053560245782137,0.07836213707923889,0.006089918315410614,0.05938423424959183
23,0.009744442999362946,0.0756189152598381,0.0057417405769228935,0.05767914652824402
24,0.009568614885210991,0.07503771781921387,0.005591409280896187,0.05657721310853958
25,0.00969113688915968,0.07465147972106934,0.005153751466423273,0.05443510785698891
26,0.008308039978146553,0.06957291811704636,0.0051001389510929585,0.053948476910591125
27,0.008403599262237549,0.06951258331537247,0.004988460335880518,0.05308980122208595
28,0.00814135279506445,0.06925532966852188,0.0048779831267893314,0.052339304238557816
29,0.008214459754526615,0.06872668117284775,0.004709383938461542,0.051249805837869644
30,0.008091210387647152,0.06858956068754196,0.004418268334120512,0.049808721989393234
31,0.0074725826270878315,0.06671110540628433,0.004433806519955397,0.04955945163965225
32,0.007528971880674362,0.0669189840555191,0.004338737111538649,0.048981860280036926
33,0.007419905625283718,0.06525159627199173,0.004317545797675848,0.04872075095772743
34,0.006649195682257414,0.06161151081323624,0.00414024805650115,0.04781976714730263
35,0.007288061548024416,0.06636518985033035,0.004026881884783506,0.04702090471982956
36,0.006977663841098547,0.06364191323518753,0.0038872049190104008,0.04604145139455795
37,0.006533361971378326,0.06102238968014717,0.004096901044249535,0.047457821667194366
38,0.006825651042163372,0.0618000365793705,0.004039459861814976,0.04731164500117302
39,0.006357647944241762,0.05942467227578163,0.0039587770588696,0.04675574228167534
40,0.0064304787665605545,0.060315776616334915,0.0037453763652592897,0.045234959572553635
41,0.006207445170730352,0.05888897180557251,0.0038049567956477404,0.04552043601870537
42,0.006172253750264645,0.05854713171720505,0.0037931238766759634,0.04540072754025459
43,0.0060755060985684395,0.058759987354278564,0.00366422301158309,0.04454335197806358
44,0.006162864156067371,0.058645281940698624,0.003699659137055278,0.04470822587609291
45,0.005467941984534264,0.05666736885905266,0.0035466349218040705,0.043579403311014175
46,0.005838411394506693,0.05922684445977211,0.0035099375527352095,0.043235018849372864
47,0.005595932248979807,0.05541054904460907,0.0035138812381774187,0.04330113157629967
48,0.005144210997968912,0.054791517555713654,0.0036995105911046267,0.04455791041254997
49,0.005540445912629366,0.056370582431554794,0.003527934430167079,0.043290603905916214
