epoch,loss,mae,val_loss,val_mae
0,0.06419871747493744,0.19219009578227997,0.018207184970378876,0.11456269770860672
1,0.026038940995931625,0.12663206458091736,0.014807531610131264,0.09809121489524841
2,0.024701371788978577,0.12061421573162079,0.012765842489898205,0.0864434763789177
3,0.021959157660603523,0.11549112200737,0.011189992539584637,0.08139999210834503
4,0.02079147659242153,0.11017153412103653,0.0100935660302639,0.07421743869781494
5,0.01933964341878891,0.10568109154701233,0.009214665740728378,0.0707588866353035
6,0.017417171970009804,0.09974171221256256,0.008481614291667938,0.06765221804380417
7,0.016611669212579727,0.09728748351335526,0.008135589770972729,0.06578750908374786
8,0.015050644986331463,0.09144359081983566,0.00729850260540843,0.06271768361330032
9,0.013867096044123173,0.08786769956350327,0.0073904478922486305,0.06225617974996567
10,0.013905607163906097,0.08820143342018127,0.006906152702867985,0.060549989342689514
11,0.012646880932152271,0.08494525402784348,0.006820592097938061,0.06021314114332199
12,0.012184425257146358,0.0832734927535057,0.006904699373990297,0.06065161153674126
13,0.012596403248608112,0.08498375117778778,0.00639940332621336,0.058624327182769775
14,0.012226819060742855,0.08407315611839294,0.00565726775676012,0.05531056597828865
15,0.010646525770425797,0.07633370161056519,0.005092565901577473,0.05290532112121582
16,0.009203639812767506,0.07213260978460312,0.004828258417546749,0.051334965974092484
17,0.009180386550724506,0.07191840559244156,0.004567538388073444,0.0498943105340004
18,0.008703582920134068,0.07006927579641342,0.004748533479869366,0.05079472437500954
19,0.008309058845043182,0.06931506842374802,0.004279373213648796,0.04818703606724739
20,0.008293715305626392,0.06827272474765778,0.00453010993078351,0.04975380748510361
21,0.007704534567892551,0.06478529423475266,0.00451405206695199,0.04921729490160942
22,0.008019248954951763,0.06693829596042633,0.004017503932118416,0.04630383476614952
23,0.006871073506772518,0.061711303889751434,0.00405799550935626,0.046769458800554276
24,0.006607351824641228,0.06235789507627487,0.00408174516633153,0.04719937592744827
25,0.0074356114491820335,0.06346984952688217,0.003896634792909026,0.04550648480653763
26,0.006826045922935009,0.062380336225032806,0.0037332200445234776,0.044274456799030304
27,0.006766053847968578,0.060738272964954376,0.003971456550061703,0.045950841158628464
28,0.006929009687155485,0.060758914798498154,0.0036224802024662495,0.043287746608257294
29,0.006758528295904398,0.060327477753162384,0.0037077004089951515,0.04410748556256294
30,0.0063017625361680984,0.059495627880096436,0.003453346434980631,0.04244058206677437
31,0.005872501526027918,0.057243213057518005,0.0037061937619000673,0.04449157789349556
32,0.006633838173002005,0.06051947548985481,0.003864432917907834,0.04561186954379082
33,0.006516644265502691,0.06042449548840523,0.003749973839148879,0.044317252933979034
34,0.0062638395465910435,0.05910786986351013,0.0038954070769250393,0.045602474361658096
35,0.006047267001122236,0.0599539615213871,0.003631176659837365,0.0439608134329319
36,0.006411120295524597,0.06104113534092903,0.0037433255929499865,0.0451400987803936
37,0.006172911264002323,0.05937938392162323,0.0036548825446516275,0.04407492280006409
38,0.005821288097649813,0.05881389230489731,0.00374665018171072,0.04526924714446068
39,0.00622416939586401,0.058278266340494156,0.003517013043165207,0.04302379488945007
40,0.005999418441206217,0.058447033166885376,0.003628018544986844,0.04439530521631241
41,0.00631876802071929,0.058179911226034164,0.0037853114772588015,0.044894732534885406
42,0.0058626593090593815,0.05616322159767151,0.00359727768227458,0.04357678443193436
43,0.005562815349549055,0.05554281175136566,0.003482811152935028,0.0431993305683136
44,0.005708479322493076,0.05630023404955864,0.0035361601039767265,0.04354298487305641
45,0.0056764231994748116,0.05767103657126427,0.0033129455987364054,0.04149925336241722
46,0.005819463171064854,0.056451454758644104,0.00329754245467484,0.04121548309922218
47,0.005688329692929983,0.05694109946489334,0.003456491744145751,0.04261349141597748
48,0.005062071140855551,0.05497386306524277,0.003467132104560733,0.042888253927230835
49,0.005321912933140993,0.05531463399529457,0.0035244966857135296,0.04316285252571106
